index,cooks_distance,leverage,standardized_residual
226,0.0015749913338559383,0.0029565351952000885,2.726896289940557
393,0.0015579336996327515,0.006026380313687022,1.896695723207346
1392,0.0015558088134363102,0.006980461969700728,1.7602686144965096
1742,0.0015433417576474462,0.008690389120752779,-1.5699293844005033
233,0.0015391053257476737,0.011554588588901689,1.357679591621248
1570,0.0015333699644974796,0.004410174346774732,2.2014044467072296
1103,0.0015232447101972354,0.009564028694655457,-1.4860780667222413
1619,0.0015105165325266841,0.009923612659407739,-1.4525336713051487
281,0.001507989289236211,0.01594668341261924,-1.1413984404698316
32,0.0015055257711134606,0.01990640154253478,-1.018698134942144
410,0.0014997955275066084,0.010759425680434311,1.389429323685653
1060,0.001496998625361127,0.010693763771593479,-1.392434576095295
1640,0.0014938653583386862,0.012328013044899349,1.2944329859330932
1444,0.0014835007229132158,0.009725585378094868,1.4542122637635773
316,0.0014652391750751468,0.009052367358882877,-1.4985200077549385
803,0.0014591677828938974,0.011855405562225339,1.304874294815116
865,0.0014591175610639163,0.010799518530805444,-1.3678835366597444
173,0.0014537006476963191,0.011543208585597077,-1.320131162406893
776,0.0014426449189689971,0.009933231945334227,1.418831090716056
919,0.0014401372934048095,0.013865926129599162,-1.1974558439414567
51,0.0014306827505279084,0.0038095229093757428,2.288608920727373
608,0.0014304573479937172,0.004719838892809274,2.0549940117280014
1678,0.0014286077039920733,0.011866496243548807,-1.290526928487352
1129,0.0014261315501644869,0.009161425943568644,1.469480160126688
1151,0.0014245401048744782,0.004865388013348612,2.0196845045912144
378,0.0014237773127294313,0.010436726155677867,-1.3747530510445334
1369,0.0014195754660273482,0.009353292257415978,-1.4508429651317012
1608,0.0013967559404159337,0.011782323016323475,-1.2806637833494274
1494,0.0013940777312897246,0.007233332120421139,-1.6366729447251485
423,0.0013873964161470412,0.006689624899200106,1.6982667412929033
1943,0.0013785046301652759,0.012701255607962602,-1.2248110524862716
1164,0.0013687742957791819,0.008532593201467676,-1.4922055086430672
1456,0.0013635262786331284,0.013723309484087952,-1.1712934909037827
225,0.0013583577829799564,0.0038362671119015865,-2.2221944032871783
978,0.001353382304792983,0.011163884205666798,-1.2954741848930096
1313,0.0013416282320734812,0.027330622627492668,-0.817594518160328
1170,0.00134017678281856,0.005231477098290197,1.8888345402474438
320,0.001339275084863705,0.0039620693369605275,2.1710799444347972
544,0.001334814447160921,0.008365618252727391,-1.4883368472889904
1026,0.0013346649863609512,0.011287819146879244,1.2793226015641437
77,0.0013098875598001648,0.012893528331399411,1.1848875516045712
