row_index,cooks_distance,leverage,standardized_residual,communityname,state
1669,0.0023615406371708006,0.011792112615279925,-1.6645240649982453,BaldwinParkcity,6
1220,0.0023478131063624525,0.008971623767871445,-1.9054751866719952,Lompoccity,6
866,0.002309817867922202,0.005053170370874234,2.523311412089162,RockHillcity,45
1595,0.002306157067304942,0.007799974712341794,2.026569390682407,Columbiacity,45
1509,0.002257130380053628,0.015347847501826717,-1.423836167983179,LakeCharlescity,22
1286,0.002250636962576608,0.004898572761090767,2.5299715316271327,Gloucestercity,25
1633,0.0022291854890159613,0.027380901021959867,1.0528939992863688,Buffalocity,36
78,0.002227244784625572,0.004643870545841455,2.585218103069634,Pueblocity,8
197,0.002206143992943356,0.008449049119793675,-1.9038579663224247,Savannahcity,13
508,0.0022026909324401847,0.016589558410091645,-1.35204390433135,Freeportcity,48
1607,0.0021852781779247515,0.010944420877660576,1.6627667747967394,LaPuentecity,6
218,0.0021650093779326833,0.005284406821803929,-2.388610018438276,Danvillecity,51
1453,0.0021357036955427394,0.013192137691872507,-1.495523460084263,TerreHautecity,18
898,0.0021079351283831687,0.005964078398427429,2.2177980950175287,SulphurSpringscity,48
285,0.002091877164493016,0.007895662869371415,-1.918299807676062,LaMarquecity,48
463,0.0020568328478907006,0.009202683435041811,1.76075401327074,Plymouthtown,25
474,0.002051325103465087,0.00943029195509026,-1.736845619048007,Dublincity,13
750,0.0020455271882589376,0.009902527687882835,-1.6921255738250789,DelRiocity,48
1907,0.0020390507090241134,0.010364168100528212,-1.6510054716382048,Louisvillecity,21
128,0.0020320054068739485,0.011917176438106393,1.5358062749467996,Watsonvillecity,6
21,0.0020050789517512897,0.025113767063390906,1.0438805235402926,Jacksonvillecity,12
673,0.0020013305503466016,0.013233741229434923,1.4454040146053044,CentralFallscity,44
790,0.001979864365033639,0.007778797818810213,-1.8803112607522843,Hackensackcity,34
1441,0.0019795957664276455,0.014821765860232993,-1.3572495487526437,Rochestercity,36
1808,0.0019786116002125506,0.00913707871692391,-1.7331948849574719,UniversityCitycity,29
751,0.0019738564163481295,0.02221233504512847,-1.102927501516298,Dublincity,6
1625,0.001972029269995275,0.025037077360574624,-1.0368667087632364,Denvercity,8
482,0.0019632289086190273,0.005950785322617402,2.142724274829254,Paducahcity,21
1968,0.0019431171061735422,0.008490934987733928,-1.7823134815339805,RedBankborough,34
23,0.0019354878698032737,0.002614152935176877,3.2153284974419996,SiouxCitycity,19
731,0.0019280263948052527,0.004655527460258043,2.402275231740484,MiamiShoresvillage,12
1536,0.0019076836335654435,0.013586264763207971,-1.3925048400694193,Shreveportcity,22
305,0.0019040241066791298,0.0080700261949589,1.8101029404003453,BeverlyHillscity,6
505,0.0018980398129538484,0.007450416749472005,1.881492533902809,Knoxvillecity,47
1718,0.0018691135127455328,0.007469858951201547,-1.8646507830407761,Reidsvillecity,37
288,0.0018648003790183224,0.00514613926905098,2.2465654181920036,Greenvillecity,48
955,0.0018607193539326966,0.010968599528259914,1.532617941022852,Prichardcity,1
1207,0.0018451804159656212,0.015713113994393138,1.272076281172688,Eunicecity,22
869,0.0018342725612198272,0.008122273614329892,1.7708680962177292,Gainesvillecity,12
212,0.0018177593651357937,0.010231159647970972,1.5690495952052168,OaklandParkcity,12
780,0.0018083379472719212,0.01031270716924616,-1.5587141208387345,Alhambracity,6
1512,0.0017947074899219559,0.01049548821097467,-1.5391056139529704,Syracusecity,36
867,0.001786092923925009,0.00654299794253002,1.9485079787124244,Sarasotacity,12
1081,0.0017798079597141961,0.014252266723327045,1.312778674146832,Bloomingtoncity,18
1965,0.0017793724767610742,0.024427039293933035,0.9974517899732434,Indianapoliscity,18
246,0.0017623337497286603,0.00687139477141624,1.8883756534502993,Bellflowercity,6
1380,0.0017619251370021537,0.011494400876812683,-1.456478709931651,ElizabethCitycity,37
250,0.0017591385037689857,0.009801941857927113,1.5773170912116719,Charlottecity,37
659,0.0017565293609535144,0.004049201936686026,2.4593817649749523,Huntingtoncity,18
155,0.0017507705529241024,0.017256997164762877,-1.1814517796249517,Passaiccity,34
1591,0.0017423994379455092,0.015085010679055528,-1.2620147810534021,ForestParkcity,39
10,0.0017298640928916141,0.015280977362182598,-1.2492535938709672,DalyCitycity,6
1052,0.0017166679620783916,0.011375342781306702,-1.4452422248643255,Coatesvillecity,42
1849,0.001693834863434988,0.009820045304922698,-1.5463217728583092,Petersburgcity,51
142,0.0016870195977030462,0.005345180943853183,-2.0964237520931293,WestMemphiscity,5
1341,0.0016734653657895957,0.01958054983520173,-1.0830933763127828,LasVegascity,32
1194,0.00165344236036827,0.014994061808041215,-1.2331568614188582,Middletownship,34
959,0.0016469571474952561,0.006475510583574317,-1.8808642292182738,Columbuscity,13
680,0.001646047596171574,0.010192118528911604,-1.495989113977948,WarrensvilleHeightscity,39
402,0.0016238404188387758,0.005542283461699736,-2.019688931328799,Pinevillecity,22
1779,0.001623748097149185,0.012743420143942736,-1.3270746795381214,WestChesterborough,42
818,0.0016166274201858141,0.006279115850210459,1.8925699878102542,NorthSmithfieldtown,44
947,0.0016125944525822431,0.011387393282679714,1.3999983076757903,Greenvillecity,37
398,0.0016084499863060467,0.007905473078973187,-1.6810490801930271,Fredericksburgcity,51
676,0.0016021305853172903,0.006263812672369404,1.8863798361942266,Chattanoogacity,47
1813,0.0015926039153884616,0.00896937834470651,1.5695684937835994,Rosenbergcity,48
226,0.0015749913338559322,0.0029565351952000798,2.726896289940556,Pariscity,48
393,0.001557933699632745,0.006026380313687003,1.8966957232073454,Conroecity,48
1392,0.001555808813436242,0.006980461969700458,1.7602686144965056,DaytonaBeachcity,12
1742,0.001543341757647437,0.008690389120752737,-1.5699293844005027,Glendalecity,6
233,0.0015391053257476379,0.011554588588901545,1.3576795916212407,NewHaventown,9
1570,0.001533369964497473,0.004410174346774709,2.20140444670723,Jaspercity,1
1103,0.0015232447101971715,0.009564028694655015,-1.4860780667222446,BeaverFallscity,42
1619,0.0015105165325266855,0.009923612659407742,-1.452533671305149,Azusacity,6
281,0.001507989289236201,0.015946683412619095,-1.1413984404698332,Dennistown,25
32,0.001505525771113463,0.019906401542534747,-1.0186981349421458,Auburncity,1
410,0.0014997955275065776,0.010759425680434203,1.3894293236856456,FortPiercecity,12
1060,0.0014969986253611266,0.010693763771593461,-1.3924345760952959,SanJosecity,6
1640,0.0014938653583386654,0.012328013044899288,1.2944329859330874,Bridgeporttown,9
1444,0.001483500722913216,0.009725585378094882,1.4542122637635764,Hobbscity,35
316,0.0014652391750751529,0.009052367358882884,-1.4985200077549412,Monroecity,37
803,0.0014591677828938677,0.011855405562225139,1.3048742948151137,Jenningscity,22
865,0.0014591175610638922,0.010799518530805336,-1.36788353665974,VanBurencity,5
173,0.0014537006476963124,0.01154320858559701,-1.3201311624068939,Edinburgcity,48
776,0.0014426449189689767,0.009933231945334192,1.4188310907160488,EastOrangecity,34
919,0.001440137293404814,0.013865926129599169,-1.1974558439414584,Scottsdalecity,4
51,0.0014306827505279002,0.0038095229093757263,2.2886089207273717,Riversidecity,6
608,0.0014304573479936872,0.004719838892809185,2.0549940117279997,Lackawannacity,36
1678,0.0014286077039920126,0.011866496243548269,-1.290526928487354,Laurinburgcity,37
1129,0.001426131550164457,0.009161425943568455,1.469480160126688,Lockportcity,36
1151,0.001424540104874449,0.00486538801334852,2.0196845045912126,NewBedfordcity,25
378,0.0014237773127294222,0.010436726155677745,-1.3747530510445372,Englewoodcity,34
1369,0.0014195754660273102,0.009353292257415744,-1.4508429651317003,Milpitascity,6
1608,0.0013967559404159191,0.011782323016323329,-1.2806637833494288,Hinesvillecity,13
1494,0.001394077731289724,0.007233332120421113,-1.6366729447251511,WestNewYorktown,34
423,0.0013873964161470263,0.006689624899200053,1.698266741292901,Covingtoncity,21
1943,0.0013785046301652765,0.012701255607962574,-1.2248110524862734,ApacheJunctioncity,4
1164,0.0013687742957791745,0.008532593201467587,-1.492205508643071,Hamptoncity,51
1456,0.001363526278633118,0.013723309484087821,-1.171293490903784,Corcorancity,6
225,0.001358357782979941,0.003836267111901531,-2.2221944032871814,Sheffieldcity,1
978,0.0013533823047929842,0.011163884205666738,-1.2954741848930138,Providencecity,44
1313,0.0013416282320734886,0.027330622627492543,-0.8175945181603322,Phoenixcity,4
1170,0.0013401767828185147,0.005231477098290016,1.8888345402474447,Kennettcity,29
320,0.0013392750848636803,0.003962069336960444,2.1710799444348003,Georgetowncity,21
544,0.0013348144471609237,0.008365618252727388,-1.4883368472889922,UnionCitycity,34
1026,0.0013346649863609599,0.011287819146879218,1.2793226015641495,Noblesvillecity,18
77,0.0013098875598001468,0.012893528331399345,1.1848875516045663,PortArthurcity,48
418,0.0013098702789755387,0.014607195305734823,1.1122423753009687,Sandwichtown,25
1783,0.0013018016672401418,0.014450174268135257,1.1149083804617557,Rustoncity,22
896,0.0012672081632069537,0.014116912159674474,1.1130914605571176,Millingtoncity,47
472,0.0012655430284033323,0.003214293837532714,2.3440160910983505,Romecity,13
1187,0.0012598158978329983,0.029214685293173906,-0.7655587998325338,SantaAnacity,6
1847,0.0012570324503826643,0.059482806741282424,-0.527502965612844,Newarkcity,34
1686,0.001229756648276267,0.00273803643224608,2.504140104445959,Davenportcity,19
427,0.001225686401820944,0.0051616450870443035,1.8185945802965122,Andersoncity,45
606,0.0012178841582078544,0.008918252397211833,-1.3765179146664477,Bluefieldcity,54
1396,0.0012126577012066086,0.011767179877817448,-1.1940611623065593,Roselleborough,34
1382,0.0011621800802594459,0.003262192301795845,2.2296485797736727,MosesLakecity,53
266,0.001156514565691253,0.007318694789820483,-1.481929947965326,Montgomerycity,1
506,0.0011540884843378786,0.00495078176254323,-1.8020588174946077,Loraincity,39
1479,0.0011517720217433577,0.00798818340469011,1.4150822684594573,Perriscity,6
1159,0.0011269708795401863,0.02641661834810844,0.7625500082981975,Oaklandcity,6
1008,0.001126369395201584,0.007154694444046429,1.4792776187370134,Newportcity,44
1420,0.0011164825837746569,0.003170793129906987,2.2167484684902616,Hamiltoncity,39
276,0.0011148598353749673,0.005102157746682169,-1.7445621917630512,PhenixCitycity,1
1720,0.0010967197744806752,0.003984934590004458,-1.9589989808805135,WarnerRobinscity,13
438,0.0010804480673014102,0.008712329985358003,-1.3118937418557588,SouthSanFranciscodivision,6
1095,0.0010691926034379399,0.007722693484523612,-1.3868328532098995,Martinsvillecity,51
1096,0.0010600458887022157,0.0033083820495643885,2.1144573321655047,Atholtown,25
624,0.0010571473366992677,0.00678782554434501,-1.4715921384567836,Mercedcity,6
1262,0.001056587267967412,0.023958368338239666,-0.7762868988133429,NewOrleanscity,22
494,0.001055719658445107,0.009870362248129512,-1.2176369160818126,Pascocity,53
1402,0.0010511228713987633,0.017940301432379274,-0.897521451662758,Maywoodcity,6
945,0.0010496875169689244,0.023844587887049906,-0.7756371589945681,Cincinnaticity,39
1523,0.0010479028686161279,0.02137131949661661,-0.8196299767062063,Starkvillecity,28
1716,0.0010469098120593908,0.015840216117228037,-0.9542692044470142,VirginiaBeachcity,51
480,0.0010448411049492796,0.005426255480403411,1.6374103043376338,Edgewatercity,12
809,0.0010250014607778558,0.023344242716424286,-0.7748312395694655,Rexburgcity,16
1431,0.0010197533739026523,0.004777261599123124,1.7245755574149102,PortLavacacity,48
407,0.0010137092784057475,0.006179952561546954,1.5107132368337446,CommerceCitycity,8
1360,0.0010136705367537946,0.006283388664768036,1.498120484392643,Clarksvillecity,47
476,0.0010079698378946474,0.004542003084536066,-1.7586343176988446,Beloitcity,55
587,0.0009969891877642525,0.015541337088586618,0.9402942804094834,Mercedescity,48
767,0.000996442180621503,0.01551123708958441,-0.9409623208483743,NewSmyrnaBeachcity,12
1683,0.000993664103370637,0.007206654012988202,1.3843516128486808,Cerritoscity,6
1629,0.0009737173122980866,0.01707185552892997,-0.8859332173220268,Oronotown,23
1049,0.0009694059853854059,0.005793843535873904,-1.5260603508204402,Moundsvillecity,54
1948,0.0009685788126420803,0.010358382482966465,1.1382155218684649,Hopewelltownship,34
1811,0.0009665506092565058,0.004450435054200099,1.7398288452968538,NewAlbanycity,18
63,0.0009617791902264011,0.004369415707027642,1.7516169440869265,CasaGrandecity,4
403,0.0009518375942216417,0.009194432784268888,-1.1983320992542628,GalenaParkcity,48
698,0.0009436536565742624,0.007890693814355686,1.2888206837882819,Pasadenacity,48
1180,0.0009424581034993177,0.008721671017427823,1.224596460255895,LakeWorthcity,12
1773,0.0009366257366989845,0.01082770747658375,1.0944975046877545,NorthMiamicity,12
1653,0.0009363886548370098,0.006572894476164592,-1.4076081158466436,GloucesterCitycity,34
1417,0.0009285374939712314,0.00571297129424949,1.504141196850261,Washingtoncity,29
109,0.0009265414786192536,0.02640084291990596,-0.6916360932434067,Tucsoncity,4
466,0.0009214284303567695,0.006069972110044386,1.4533806700868526,SouthOrangeVillagetownship,34
1511,0.0009161958409408656,0.018261133749416212,-0.8304094819643608,Hobokencity,34
641,0.000906915321822882,0.009352514192792656,1.1596922911273937,Hartfordtown,9
917,0.0008990197630206298,0.01756537562795358,-0.839018905058193,Tuskegeecity,1
922,0.0008762775912299043,0.009873443297519803,1.1091643621123821,Northbridgetown,25
1146,0.0008702549628009805,0.026963254537581475,0.6630797070756344,Cudahycity,6
1985,0.0008649742532345016,0.00688876877974183,-1.3212766217577585,AlexanderCitycity,1
868,0.0008577918598099768,0.009720023598939847,-1.106115090333362,Irvingcity,48
1777,0.0008481646280757933,0.011286535610928265,-1.0199032889810198,Norfolkcity,51
1645,0.0008446075466133375,0.011786066141874415,-0.9957092603874018,Burlingtoncity,50
950,0.0008405796145932859,0.003833499661121901,1.748725715211223,Uxbridgetown,25
96,0.0008373061432900906,0.007158459402053925,1.2750767987517013,Eurekacity,6
333,0.0008369218768962026,0.013016059214482432,0.94258768926603,AtlanticCitycity,34
454,0.0008243807805316621,0.006307982230700478,1.348368558090154,Wacocity,48
808,0.0008236465458162936,0.017050336393760718,-0.8153303743473406,ColoradoSpringsdivision,8
